gene_name,entrezID
A1CF,29974
A2M,2
A4GALT,53947
A4GNT,51146
AAAS,8086
AACS,65985
AADAC,13
AAGAB,79719
AAK1,22848
AAMDC,28971
AAMP,14
AANAT,15
AAR2,25980
AARS1,16
AARSD1,80755
AASDHPPT,60496
AASS,10157
AATF,26574
AATK,9625
ABAT,18
ABCA1,19
ABCA11P,79963
ABCA12,26154
ABCA2,20
ABCA3,21
ABCA4,24
ABCA5,23461
ABCA6,23460
ABCA7,10347
ABCA8,10351
ABCB1,5243
ABCB11,8647
ABCB4,5244
ABCB6,10058
ABCB7,22
ABCB8,11194
ABCB9,23457
ABCC1,4363
ABCC10,89845
ABCC2,1244
ABCC3,8714
ABCC4,10257
ABCC5,10057
ABCC6,368
ABCC8,6833
ABCC9,10060
ABCD1,215
ABCD2,225
ABCD3,5825
ABCD4,5826
ABCE1,6059
ABCF1,23
ABCF2,10061
ABCF3,55324
ABCG1,9619
ABCG2,9429
ABCG4,64137
ABCG5,64240
ABHD10,55347
ABHD11,83451
ABHD14A,25864
ABHD17A,81926
ABHD17B,51104
ABHD18,80167
ABHD2,11057
ABHD3,171586
ABHD4,63874
ABHD5,51099
ABHD6,57406
ABHD8,79575
ABI1,10006
ABI2,10152
ABI3BP,25890
ABITRAM,54942
ABL1,25
ABL2,27
ABLIM1,3983
ABLIM3,22885
ABO,28
ABR,29
ABRAXAS2,23172
ABT1,29777
ABTB2,25841
ACAA1,30
ACAA2,10449
ACACA,31
ACACB,32
ACAD10,80724
ACAD8,27034
ACADL,33
ACADM,34
ACADS,35
ACADSB,36
ACADVL,37
ACAN,176
ACAP1,9744
ACAP2,23527
ACAT1,38
ACAT2,39
ACBD3,64746
ACBD4,79777
ACD,65057
ACE,1636
ACE2,59272
ACHE,43
ACIN1,22985
ACKR1,2532
ACKR2,1238
ACKR3,57007
ACKR4,51554
ACLY,47
ACO1,48
ACO2,50
ACOT11,26027
ACOT13,55856
ACOT2,10965
ACOT7,11332
ACOT8,10005
ACOT9,23597
ACOX1,51
ACOX2,8309
ACOX3,8310
ACOXL,55289
ACP1,52
ACP2,53
ACP3,55
ACP5,54
ACP6,51205
ACR,49
ACRV1,56
ACSBG1,23205
ACSBG2,81616
ACSF2,80221
ACSL1,2180
ACSL3,2181
ACSL4,2182
ACSL5,51703
ACSL6,23305
ACSM1,116285
ACSM2A,123876
ACSM3,6296
ACSM5,54988
ACSS3,79611
ACTA1,58
ACTA2,59
ACTB,60
ACTC1,70
ACTG1,71
ACTG2,72
ACTL6A,86
ACTL6B,51412
ACTL7A,10881
ACTL7B,10880
ACTL8,81569
ACTN1,87
ACTN2,88
ACTN3,89
ACTN4,81
ACTR10,55860
ACTR1A,10121
ACTR1B,10120
ACTR2,10097
ACTR3,10096
ACTR3B,57180
ACTR5,79913
ACTR6,64431
ACTR8,93973
ACVR1,90
ACVR1B,91
ACVR2A,92
ACVR2B,93
ACVRL1,94
ACY1,95
ACYP1,97
ACYP2,98
ADA,100
ADA2,51816
ADAD1,132612
ADAM10,102
ADAM11,4185
ADAM12,8038
ADAM15,8751
ADAM17,6868
ADAM18,8749
ADAM19,8728
ADAM2,2515
ADAM20,8748
ADAM21,8747
ADAM22,53616
ADAM23,8745
ADAM28,10863
ADAM29,11086
ADAM30,11085
ADAM3A,1587
ADAM5,255926
ADAM7,8756
ADAM8,101
ADAM9,8754
ADAMDEC1,27299
ADAMTS1,9510
ADAMTS12,81792
ADAMTS13,11093
ADAMTS2,9509
ADAMTS20,80070
ADAMTS3,9508
ADAMTS5,11096
ADAMTS6,11174
ADAMTS7,11173
ADAMTS8,11095
ADAMTS9,56999
ADAMTSL2,9719
ADAMTSL3,57188
ADAMTSL4,54507
ADAP1,11033
ADAP2,55803
ADAR,103
ADARB1,104
ADARB2,105
ADAT1,23536
ADCK2,90956
ADCY1,107
ADCY10,55811
ADCY2,108
ADCY3,109
ADCY6,112
ADCY7,113
ADCY8,114
ADCY9,115
ADCYAP1,116
ADCYAP1R1,117
ADD1,118
ADD2,119
ADD3,120
ADGB,79747
ADGRA2,25960
ADGRA3,166647
ADGRB1,575
ADGRB2,576
ADGRB3,577
ADGRE1,2015
ADGRE2,30817
ADGRE3,84658
ADGRE5,976
ADGRF1,266977
ADGRF5,221395
ADGRG1,9289
ADGRG2,10149
ADGRG3,222487
ADGRG6,57211
ADGRL1,22859
ADGRL2,23266
ADGRL3,23284
ADGRL4,64123
ADGRV1,84059
ADH1A,124
ADH1B,125
ADH5,128
ADH6,130
ADH7,131
ADI1,55256
ADIPOQ,9370
ADIPOR1,51094
ADIPOR2,79602
ADIRF,10974
ADK,132
ADM,133
ADM2,79924
ADNP,23394
ADNP2,22850
ADO,84890
ADORA1,134
ADORA2A,135
ADORA2B,136
ADORA3,140
ADPGK,83440
ADPRH,141
ADPRM,56985
ADRA1A,148
ADRA1B,147
ADRA1D,146
ADRA2A,150
ADRA2B,151
ADRA2C,152
ADRB1,153
ADRB2,154
ADRB3,155
ADRM1,11047
ADSL,158
ADSS2,159
ADTRP,84830
AEBP1,165
AEN,64782
AFAP1,60312
AFDN,4301
AFF1,4299
AFF2,2334
AFF3,3899
AFF4,27125
AFG3L2,10939
AFM,173
AFP,174
AFTPH,54812
AGA,175
AGAP1,116987
AGAP2,116986
AGAP4,119016
AGBL2,79841
AGBL5,60509
AGER,177
AGFG1,3267
AGFG2,3268
AGGF1,55109
AGK,55750
AGL,178
AGMAT,79814
AGO1,26523
AGO2,27161
AGO3,192669
AGO4,192670
AGPAT1,10554
AGPAT2,10555
AGPAT3,56894
AGPAT4,56895
AGPAT5,55326
AGPS,8540
AGR2,10551
AGRN,375790
AGRP,181
AGT,183
AGTPBP1,23287
AGTR1,185
AGTR2,186
AGXT,189
AHCTF1,25909
AHCY,191
AHCYL1,10768
AHCYL2,23382
AHDC1,27245
AHI1,54806
AHNAK,79026
AHNAK2,113146
AHR,196
AHSA1,10598
AHSG,197
AHSP,51327
AICDA,57379
AIDA,64853
AIF1,199
AIFM1,9131
AIM2,9447
AIMP1,9255
AIMP2,7965
AIP,9049
AIPL1,23746
AIRE,326
AJAP1,55966
AK1,203
AK2,204
AK4,205
AK5,26289
AKAP1,8165
AKAP10,11216
AKAP11,11215
AKAP12,9590
AKAP13,11214
AKAP17A,8227
AKAP3,10566
AKAP4,8852
AKAP5,9495
AKAP6,9472
AKAP7,9465
AKAP8,10270
AKAP8L,26993
AKAP9,10142
AKIP1,56672
AKIRIN1,79647
AKIRIN2,55122
AKR1A1,10327
AKR1B1,231
AKR1B10,57016
AKR1C1,1645
AKR1C2,1646
AKR1C3,8644
AKR1C4,1109
AKR1D1,6718
AKR7A2,8574
AKR7A3,22977
AKT1,207
AKT2,208
AKT3,10000
AKTIP,64400
ALAD,210
ALAS1,211
