disease,signature_type,exp_id,cmap_score,p,q,subset_comparison_id,analysis_id,name,concentration,duration,cell_line,array_platform,vehicle,vendor,vendor_catalog_id,vendor_catalog_name,drug_concept_id,cas_number,DrugBank.ID,valid
Alzheimer's_disease,CMAP,102.0,0.100487784857542,0.48654,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,celecoxib,1e-05,6.0,MCF7,HG-U133A,DMSO,LKT Laboratories,C1644,celecoxib,C0538927,,DB00482,
Alzheimer's_disease,CMAP,315.0,-0.120175446732561,0.42744,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,clotrimazole,5e-05,6.0,MCF7,HT_HG-U133A_EA,DMSO,Calbiochem,233230,clotrimazole,C0009074,,DB00257,
Alzheimer's_disease,CMAP,328.0,-0.149259156755915,0.26028,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,decitabine,1e-07,6.0,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,A3656,5-aza-2&#8242;-deoxycytidine,C0049065,,DB01262,
Alzheimer's_disease,CMAP,40.0,-0.169478518910167,0.1507,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,dexamethasone,1e-06,6.0,MCF7,HG-U133A,DMSO,Sigma-Aldrich,D4902,dexamethasone,C1372970,,DB01234,
Alzheimer's_disease,CMAP,58.0,-0.116131241686826,0.4444,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,fulvestrant,1e-08,6.0,MCF7,HG-U133A,DMSO,Tocris,1047,"ICI 182,780",C0935916,,DB00947,
Alzheimer's_disease,CMAP,208.0,-0.101422934537757,0.48482,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,gefitinib,1e-05,6.0,HL60,HG-U133A,DMSO,AstraZeneca,Iressa,Iressa,C1122962,,DB00317,
Alzheimer's_disease,CMAP,350.0,0.156886257841652,0.21608,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,oxaprozin,0.0003,6.0,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,O9637,oxaprozin,C0069739,,DB00991,
Alzheimer's_disease,CMAP,227.0,-0.135059761370652,0.34801,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,resveratrol,5e-05,6.0,MCF7,HG-U133A,DMSO,Sigma-Aldrich,R5010,resveratrol,EXPT02968,,DB02709,
Alzheimer's_disease,CMAP,390.0,-0.122865696732356,0.41466,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,rosiglitazone,1e-05,6.0,MCF7,HT_HG-U133A_EA,DMSO,LKT Laboratories,R5772,rosiglitazone,C0289313,,DB00412,
Asthma,CMAP,338.0,-0.120030895644292,0.43113,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,carbamazepine,1e-07,6.0,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,C4024,carbamazepine,C0006949,,DB00564,
Asthma,CMAP,178.0,0.0833389241083564,0.50037,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,celecoxib,1e-05,6.0,PC3,HG-U133A,DMSO,LKT Laboratories,C1644,celecoxib,C0538927,,DB00482,
Asthma,CMAP,315.0,-0.147633571225545,0.27514,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,clotrimazole,5e-05,6.0,MCF7,HT_HG-U133A_EA,DMSO,Calbiochem,233230,clotrimazole,C0009074,,DB00257,
Asthma,CMAP,40.0,-0.0886942046809364,0.49885,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,dexamethasone,1e-06,6.0,MCF7,HG-U133A,DMSO,Sigma-Aldrich,D4902,dexamethasone,C1372970,,DB01234,
Asthma,CMAP,403.0,-0.180106563541427,0.10865,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,fulvestrant,1e-06,6.0,MCF7,HT_HG-U133A_EA,DMSO,Tocris,1047,"ICI 182,780",C0935916,,DB00947,
Asthma,CMAP,208.0,-0.150237582378361,0.25937,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,gefitinib,1e-05,6.0,HL60,HG-U133A,DMSO,AstraZeneca,Iressa,Iressa,C1122962,,DB00317,
Asthma,CMAP,350.0,0.0943160047934951,0.49553,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,oxaprozin,0.0003,6.0,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,O9637,oxaprozin,C0069739,,DB00991,
Asthma,CMAP,252.0,-0.138189246609882,0.333,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,paclitaxel,1e-07,6.0,MCF7,HG-U133A,DMSO,Sigma-Aldrich,T-7191,paclitaxel,C0144576,,DB01229,
Asthma,CMAP,243.0,-0.167894958650091,0.16179,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,resveratrol,5e-05,6.0,MCF7,HG-U133A,DMSO,Sigma-Aldrich,R5010,resveratrol,EXPT02968,,DB02709,
Asthma,CMAP,427.0,-0.109900381964132,0.4686,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,rosiglitazone,1e-05,6.0,MCF7,HT_HG-U133A_EA,DMSO,LKT Laboratories,R5772,rosiglitazone,C0289313,,DB00412,
Asthma,CMAP,17.0,-0.15178708276791,0.24983,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,verapamil,1e-05,6.0,MCF7,HG-U133A,DMSO,Sigma-Aldrich,V4629,(+/-)-verapamil hydrochloride,C0042523,,DB00661,
Astrocytoma,TAHOE,2529.0,-0.199479041489692,0.04239,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Acetazolamide,5.0,24.0,ACH-000311,Tahoe,DMSO,Tahoe,,,,,,
Astrocytoma,TAHOE,2615.0,-0.138727141173728,0.30996,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Acetohexamide,0.5,24.0,ACH-000861,Tahoe,DMSO,Tahoe,,,,,,
Astrocytoma,TAHOE,3458.0,-0.172966445017093,0.12281,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Allantoin,0.0500000007450581,24.0,ACH-000580,Tahoe,DMSO,Tahoe,,,,,,
Astrocytoma,TAHOE,4249.0,-0.154811719802134,0.21332,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Altretamine,0.0500000007450581,24.0,,Tahoe,DMSO,Tahoe,,,,,,
Astrocytoma,TAHOE,8870.0,-0.197382364938361,0.04669,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Bergenin,0.0500000007450581,24.0,ACH-000750,Tahoe,DMSO,Tahoe,,,,,,
Astrocytoma,TAHOE,10972.0,-0.182277413757381,0.08731,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Budesonide,0.0500000007450581,24.0,ACH-000950,Tahoe,DMSO,Tahoe,,,,,,
Astrocytoma,TAHOE,12227.0,-0.140913394799544,0.29665,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Captopril,0.5,24.0,ACH-000311,Tahoe,DMSO,Tahoe,,,,,,
Astrocytoma,TAHOE,12348.0,-0.149595647078628,0.24396,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Carbamazepine,0.5,24.0,ACH-000558,Tahoe,DMSO,Tahoe,,,,,,
Astrocytoma,TAHOE,12709.0,-0.192305792240754,0.05832,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Celecoxib,5.0,24.0,ACH-001039,Tahoe,DMSO,Tahoe,,,,,,
Astrocytoma,TAHOE,13107.0,-0.158382057391485,0.19252,0.836059801299675,filefb0291a7289_logFC_0,TAHOE,Ciclopirox,0.5,24.0,ACH-000138,Tahoe,DMSO,Tahoe,,,,,,
Atherosclerosis,CMAP,338.0,-0.127800277930283,0.27584,0.823032319391635,filefb07559574_logFC_0,CMAP,carbamazepine,1e-07,6.0,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,C4024,carbamazepine,C0006949,,DB00564,
Atherosclerosis,CMAP,29.0,-0.137272742576715,0.21232,0.823032319391635,filefb07559574_logFC_0,CMAP,celecoxib,1e-05,6.0,MCF7,HG-U133A,DMSO,LKT Laboratories,C1644,celecoxib,C0538927,,DB00482,
Atherosclerosis,CMAP,99.0,-0.142624448198694,0.1782,0.823032319391635,filefb07559574_logFC_0,CMAP,dexamethasone,1e-06,6.0,ssMCF7,HG-U133A,DMSO,Sigma-Aldrich,D4902,dexamethasone,C1372970,,DB01234,
Atherosclerosis,CMAP,206.0,-0.126215673465043,0.28686,0.823032319391635,filefb07559574_logFC_0,CMAP,fulvestrant,1e-06,6.0,ssMCF7,HG-U133A,DMSO,Tocris,1047,"ICI 182,780",C0935916,,DB00947,
Atherosclerosis,CMAP,291.0,-0.118138019157531,0.34493,0.823032319391635,filefb07559574_logFC_0,CMAP,oxaprozin,0.0003,6.0,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,O9637,oxaprozin,C0069739,,DB00991,
Atherosclerosis,CMAP,343.0,-0.088766631423065,0.48382,0.823032319391635,filefb07559574_logFC_0,CMAP,resveratrol,1e-05,6.0,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,R 5010,resveratrol,EXPT02968,,DB02709,
