,CMAP_total,TAHOE_total,common_CMAP_TAHOE,CMAP_in_evidence,TAHOE_in_evidence,common_in_evidence,CMAP_novel,TAHOE_novel,common_novel
Alzheimer's_disease,104,0,0,46,0,0,58,0,0
Asthma,112,0,0,40,0,0,72,0,0
Astrocytoma,0,91,0,0,39,0,0,52,0
Atherosclerosis,115,0,0,41,0,0,74,0,0
Autism_spectrum_disorder,0,91,0,0,39,0,0,52,0
Bipolar_disorder,109,91,2,43,39,2,66,52,0
Breast_cancer,0,90,0,0,39,0,0,51,0
Cardiomyopathy,1,0,0,1,0,0,0,0,0
Chronic_granulomatous_disease,117,91,2,43,39,2,74,52,0
Chronic_obstructive_pulmonary_disease,111,91,2,44,39,2,67,52,0
Colorectal_cancer,116,91,2,43,39,2,73,52,0
CoreFibroidSignature_sirota_lab,107,0,0,44,0,0,63,0,0
Crohn's_disease,116,0,0,46,0,0,70,0,0
Dermatomyositis,119,0,0,49,0,0,70,0,0
Dilated_cardiomyopathy,1,0,0,1,0,0,0,0,0
Duchenne_muscular_dystrophy,113,0,0,43,0,0,70,0,0
Eczema,117,91,2,44,39,2,73,52,0
Endometrial_cancer,125,91,2,44,39,2,81,52,0
Endothelia_sirota_lab,1,91,0,1,39,0,0,52,0
Epithelial_proliferation,116,0,0,43,0,0,73,0,0
Glioblastoma,123,91,2,48,39,2,75,52,0
Hepatitis_C,0,91,0,0,39,0,0,52,0
HIV_AIDS,0,91,0,0,39,0,0,52,0
Hypercholesterolemia,121,0,0,49,0,0,72,0,0
Hypoxia,110,0,0,45,0,0,65,0,0
Leukemia,113,91,2,42,39,2,71,52,0
Lupus,104,0,0,42,0,0,62,0,0
Lymphoma,116,91,2,45,39,2,71,52,0
Melanoma,0,91,0,0,39,0,0,52,0
Meningococcal_infection,0,91,0,0,39,0,0,52,0
Obesity,111,91,2,44,39,2,67,52,0
Oligodendroglioma,116,91,2,44,39,2,72,52,0
Ovarian_cancer,117,91,2,46,39,2,71,52,0
Pancreatic_cancer,111,0,0,45,0,0,66,0,0
Parkinson's_disease,112,91,1,43,39,1,69,52,0
Prostate_cancer,0,91,0,0,39,0,0,52,0
Psoriasis,113,91,2,44,39,2,69,52,0
Pulmonary_fibrosis,0,90,0,0,39,0,0,51,0
Rheumatoid_arthritis,108,91,2,39,39,2,69,52,0
Schizophrenia,0,91,0,0,39,0,0,52,0
Stroke,114,91,2,44,39,2,70,52,0
Tuberculosis,0,91,0,0,39,0,0,52,0
Type_1_diabetes,115,91,2,45,39,2,70,52,0
Type_2_diabetes,102,0,0,37,0,0,65,0,0
Ulcerative_colitis,118,0,0,45,0,0,73,0,0
TOTAL,3524,2637,33,1363,1131,33,2161,1506,0
