Transaction Date,Post Date,Description,Category,Type,Amount,Memo,-2248.97
10/21/22,10/21/22,AUTOMATIC PAYMENT - THANK,,Payment,1286.39,,
10/20/22,10/21/22,Amazon.com*H802M7TQ1,Shopping,Sale,-40.84,,
10/19/22,10/20/22,Amazon.com*H80GY0TC0,Shopping,Sale,-137.35,,
10/20/22,10/20/22,INTERNATIONAL SOCIETY FOR,Gifts & Donations,Sale,-600,,
10/19/22,10/20/22,Amazon.com*HT0R13HT2,Shopping,Sale,-68.34,,
10/20/22,10/20/22,AMZN Mktp US*H87RV6ZM1,Shopping,Sale,-23.25,,
10/19/22,10/20/22,ISCB INTL SOC FOR COMP,Personal,Sale,-135,,
10/19/22,10/19/22,CONNECT BY AMFAM AUTO,Bills & Utilities,Sale,-224.87,,
10/18/22,10/19/22,Amazon.com*HT9PW2UU1,Shopping,Sale,-51.2,,
10/17/22,10/18/22,Amazon.com*HT2OV83V2,Shopping,Sale,-6.58,,
10/17/22,10/18/22,AMZN Mktp US*HT8KJ4TE2,Shopping,Sale,-34.43,,
10/17/22,10/18/22,AMZN Mktp US*HT0D192S1,Shopping,Sale,-37.75,,
10/16/22,10/17/22,TOMMY THAI,Food & Drink,Sale,-155.81,,
10/14/22,10/16/22,AMZN Mktp US*HT0QE45H0,Shopping,Sale,-25.41,,
10/14/22,10/16/22,CALTRAIN MOBILE,Travel,Sale,-10.5,,
10/13/22,10/14/22,SAN FRANCISCO OPERA,Entertainment,Sale,-56,,
10/13/22,10/14/22,Amazon.com*HT0EG2060,Shopping,Sale,-24.8,,
10/13/22,10/13/22,AMZN Mktp US,Shopping,Return,64.84,,
10/11/22,10/13/22,APPLE STORE  #R002,Shopping,Sale,-53.47,,
10/13/22,10/13/22,Amazon.com,Shopping,Return,35.15,,
10/12/22,10/13/22,TRADER JOE'S #212  QPS,Groceries,Sale,-63.9,,
10/11/22,10/12/22,KP VISION MTN 0203042,Health & Wellness,Sale,-74.5,,
10/9/22,10/10/22,WAL-MART #2280,Groceries,Sale,-34.49,,
10/10/22,10/10/22,Amazon.com*1K1GF5J92,Shopping,Sale,-9.49,,
10/7/22,10/9/22,Amazon.com*1K4XZ73K1,Shopping,Sale,-7.11,,
10/5/22,10/7/22,TST* Wicked Chicken Wings,Food & Drink,Sale,-14.73,,
10/6/22,10/7/22,Amazon.com*1K0YB2NI0,Shopping,Sale,-98.44,,
10/4/22,10/5/22,KAISER 02090371,Health & Wellness,Sale,-15,,
10/4/22,10/5/22,KAISER 02090371,Health & Wellness,Sale,-195,,
10/4/22,10/4/22,SPRINT *WIRELESS,Bills & Utilities,Sale,-103.5,,
10/3/22,10/4/22,AMZN Mktp US*1449G8KN0,Shopping,Sale,-64.84,,
10/3/22,10/4/22,Amazon.com*149RB65I1,Shopping,Sale,-27.27,,
10/3/22,10/3/22,AMZN Mktp US,Shopping,Return,87.45,,
10/2/22,10/3/22,TRADER JOE'S #212  QPS,Groceries,Sale,-100.9,,
10/3/22,10/3/22,AMZN Mktp US,Shopping,Return,15.3,,
10/2/22,10/3/22,AMZN Mktp US*147415T02,Shopping,Sale,-17.96,,
9/30/22,10/2/22,SF KEBAB,Food & Drink,Sale,-16.65,,
10/2/22,10/2/22,AMZN Mktp US*148QL9M20,Shopping,Sale,-7.86,,
10/2/22,10/2/22,AMZN Mktp US*144Q92MG0,Shopping,Sale,-21.81,,
9/29/22,10/2/22,WESTLAKE ACE MOUNTAIN VIE,Home,Sale,-6.44,,
10/1/22,10/2/22,AMZ*Monoprice,Shopping,Sale,-44.61,,
9/30/22,10/2/22,AMZN Mktp US*142LT84U2,Shopping,Sale,-22.97,,
9/28/22,9/30/22,SAFEWAY #0763,Groceries,Sale,-23.02,,
9/28/22,9/30/22,TST* Bills Cafe - The Al,Food & Drink,Sale,-67.51,,
9/30/22,9/30/22,AMZN Mktp US*147YU5ND1,Shopping,Sale,-29.76,,
9/27/22,9/29/22,WESTLAKE ACE MOUNTAIN VIE,Home,Sale,-134.77,,
9/27/22,9/28/22,SOUTHWES    5262169702131,Travel,Sale,-139.96,,
9/27/22,9/28/22,EXPEDIA 72398446703045,Travel,Sale,-60.21,,
9/28/22,9/28/22,AMZN Mktp US*1U4K096N2,Shopping,Sale,-87.45,,
9/27/22,9/28/22,Amazon.com*1U0YX77F0,Shopping,Sale,-34.71,,
9/28/22,9/28/22,AMZN Mktp US*1U6AC9RJ0,Shopping,Sale,-15.3,,
9/27/22,9/28/22,Amazon.com*1U8LU17L0,Shopping,Sale,-31.33,,
9/27/22,9/28/22,SOUTHWES    5262169702132,Travel,Sale,-139.96,,
9/25/22,9/27/22,SAMOVAR,Groceries,Sale,-11.97,,
9/26/22,9/26/22,Amazon.com*1U63H6B00,Shopping,Sale,-13.92,,
9/26/22,9/26/22,Amazon.com*1U7LQ01U2,Shopping,Sale,-35.15,,
9/24/22,9/26/22,WESTLAKE ACE MOUNTAIN VIE,Home,Sale,-16.34,,
9/26/22,9/26/22,Amazon.com*1U50L2BU0,Shopping,Sale,-42.55,,
9/24/22,9/25/22,MCDONALDS  F16328,Food & Drink,Sale,-28.45,,
9/24/22,9/25/22,LOWES #00907*,Home,Sale,-43.73,,
9/23/22,9/25/22,AMZN Mktp US*1U30R3AN0,Shopping,Sale,-69.12,,
9/23/22,9/25/22,LOWES #01756*,Home,Sale,-79.82,,
