Disease_ID,Disease,I,S,P,Precision,Recall
MONDO_0011382,sickle cell anemia,66,5,5,7.6,100.0
EFO_0002628,peripartum cardiomyopathy,64,2,2,3.1,100.0
MONDO_0015253,Diamond-Blackfan anemia,56,1,1,1.8,100.0
EFO_0000702,lung small cell carcinoma,65,10,10,15.4,100.0
EFO_0000095,chronic lymphocytic leukemia,49,13,13,26.5,100.0
DOID_13406,pulmonary sarcoidosis,61,1,1,1.6,100.0
MONDO_0007947,Marfan syndrome,42,1,1,2.4,100.0
MONDO_0020121,muscular dystrophy,39,1,1,2.6,100.0
MONDO_0001347,facioscapulohumeral muscular dystrophy,62,1,1,1.6,100.0
EFO_0009606,macular degeneration,68,3,3,4.4,100.0
EFO_0000660,polycystic ovary syndrome,16,1,1,6.2,100.0
EFO_1000359,pancreatic cancer,41,25,25,61.0,100.0
EFO_0003882,osteoporosis,68,1,1,1.5,100.0
EFO_0000764,Human immunodeficiency virus infectious disease,57,5,5,8.8,100.0
EFO_0000407,dilated cardiomyopathy,46,1,1,2.2,100.0
MONDO_0004784,allergic asthma,59,2,2,3.4,100.0
EFO_0001422,liver cirrhosis,16,2,2,12.5,100.0
EFO_0000398,dermatomyositis,60,1,1,1.7,100.0
EFO_0005531,urticaria,53,1,1,1.9,100.0
EFO_0000222,acute myeloid leukemia,59,18,18,30.5,100.0
MONDO_0019499,Turner syndrome,61,1,1,1.6,100.0
MONDO_0005184,pancreatic ductal adenocarcinoma,59,13,14,22.0,92.9
MONDO_0005178,osteoarthritis,123,12,13,9.8,92.3
HP_0001249,intellectual disability,116,11,12,9.5,91.7
EFO_0000209,acute T cell leukemia,64,12,14,18.8,85.7
EFO_0001378,multiple myeloma,63,21,25,33.3,84.0
EFO_1001993,scleroderma,55,4,5,7.3,80.0
MONDO_0015459,nasopharynx carcinoma,60,11,14,18.3,78.6
EFO_0003768,Nicotine addiction,135,11,14,8.1,78.6
MONDO_0002974,cervical cancer,63,41,54,65.1,75.9
EFO_0000272,astrocytoma,60,3,4,5.0,75.0
EFO_0003897,stomach cancer,140,72,99,51.4,72.7
MONDO_0017610,epidermolysis bullosa simplex,94,5,7,5.3,71.4
MONDO_0005301,multiple sclerosis,98,10,14,10.2,71.4
EFO_0000182,hepatocellular carcinoma,63,15,21,23.8,71.4
EFO_0007243,Ebola hemorrhagic fever,142,7,10,4.9,70.0
EFO_0000708,lung squamous cell carcinoma,140,40,58,28.6,69.0
EFO_0006792,Lewy body dementia,62,2,3,3.2,66.7
EFO_0000694,severe acute respiratory syndrome,92,8,12,8.7,66.7
MONDO_0008315,prostate cancer,93,49,74,52.7,66.2
EFO_0000756,melanoma,121,30,46,24.8,65.2
EFO_0003782,anterior horn cell disease,125,7,11,5.6,63.6
EFO_0000770,malignant pleural mesothelioma,65,10,16,15.4,62.5
EFO_0003778,psoriatic arthritis,132,13,21,9.8,61.9
EFO_0004190,primary open angle glaucoma,92,3,5,3.3,60.0
MONDO_0010679,Duchenne muscular dystrophy,58,3,5,5.2,60.0
EFO_0005088,testicular cancer,109,58,97,53.2,59.8
EFO_0000681,renal cell carcinoma,63,13,22,20.6,59.1
MONDO_0005149,pulmonary hypertension,132,19,33,14.4,57.6
EFO_0001073,obesity,71,4,7,5.6,57.1
MONDO_0004670,lupus erythematosus,61,5,9,8.2,55.6
EFO_0000198,myelodysplastic syndrome,61,14,26,23.0,53.8
MONDO_0002050,mental depression,94,7,13,7.4,53.8
EFO_0000519,glioblastoma multiforme,77,18,34,23.4,52.9
EFO_0003063,Polymyositis,62,1,2,1.6,50.0
EFO_0003073,smoldering myeloma,62,1,2,1.6,50.0
EFO_0000641,papillary thyroid carcinoma,56,12,24,21.4,50.0
EFO_0000318,Cardiomyopathy,63,2,4,3.2,50.0
EFO_0000365,colorectal adenocarcinoma,94,20,41,21.3,48.8
EFO_0007160,autoimmune thrombocytopenic purpura,62,5,11,8.1,45.5
EFO_0000186,invasive ductal carcinoma,75,10,23,13.3,43.5
MONDO_0005148,type 2 diabetes mellitus,65,8,19,12.3,42.1
EFO_0000341,chronic obstructive pulmonary disease,100,5,12,5.0,41.7
EFO_0000304,breast adenocarcinoma,62,10,24,16.1,41.7
EFO_0000339,chronic myeloid leukemia,62,14,36,22.6,38.9
EFO_1000595,anaplastic thyroid carcinoma,60,13,34,21.7,38.2
MONDO_0005180,Parkinson's disease,60,3,8,5.0,37.5
MONDO_0005147,type 1 diabetes mellitus,67,3,9,4.5,33.3
EFO_0002496,actinic keratosis,62,2,6,3.2,33.3
EFO_0005226,swine influenza,62,2,6,3.2,33.3
EFO_0004610,Acute Lung Injury,60,3,10,5.0,30.0
MONDO_0007915,systemic lupus erythematosus,62,3,10,4.8,30.0
