drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,match_type,matched_name_in_cmap
CHEMBL894,BUPROPION,Transporter,Amfebutamone|Bupropion|Bupropion extended release|Bupropion slow release|Bupropione|NSC-758686,Small molecule,Norepinephrine transporter inhibitor,drug_common_name,bupropion
CHEMBL98,VORINOSTAT,Epigenetic regulator,MK-0683|MK0683|NSC-701852|NSC-748799|NSC-759852|Suberoylanilide hydroxamic acid|Vorinostat,Small molecule,Histone deacetylase 3 inhibitor,drug_common_name,vorinostat
CHEMBL1201129,DECITABINE,Epigenetic regulator,2'-deoxy-5-azacytidine|DAC|Decitabina|Decitabine|NSC-127716,Small molecule,DNA (cytosine-5)-methyltransferase 1 inhibitor,drug_common_name,decitabine
CHEMBL513,CARMUSTINE,Enzyme,BCNU|Becenun|Bischloroethyl nitrosourea|Camustine|Carmubris|Carmustina|Carmustine|DTI-015|FDA-0345|NSC-409962|SK-27702|SRI-1720,Small molecule,Glutathione reductase inhibitor,drug_common_name,carmustine
CHEMBL657,DIPHENHYDRAMINE,Membrane receptor,Difenhidramina|Diphenhdyra|Diphenhydramine|Restamin,Small molecule,Histamine H1 receptor antagonist,drug_common_name,diphenhydramine
CHEMBL135,ESTRADIOL,Transcription factor,17-.beta.-oestradiol|17-beta-oestradiol|17.beta.-estradiol|17beta-estradiol|Agofollin|Alfatradiol|Depo-Estradiol|Destradiol|Dihydrotheelin|Dihydroxyestrin|Estradiol|Estradiol 17-beta|Estradiol anhydrous|Estradiol hemihydrate|Estradiol valerate metabolite e2|Estrasorb|Gynergon|Gynoestryl|NSC-20293|NSC-9895|Oestradiol|WC-3011|WC3011,Small molecule,Estrogen receptor alpha agonist,drug_common_name,estradiol
CHEMBL220492,TOPIRAMATE,Ion channel,(-)-topiramate|Epitoma|Eprontia|MCN-4853|Qudexy|RWJ-17021|RWJ-17021-000|Sincronil|Topamac|Topimax|Topina|Topiramate|Topiramato|Topomax|USL-255|USL255,Small molecule,GABA-A receptor; anion channel positive modulator,drug_common_name,topiramate
CHEMBL25,ASPIRIN,Enzyme,"Acetyl salicylate|Acetylsalicylic Acid|Acetylsalicylic acid|Acetylsalicylic acid (who-ip)|Acetylsalicylicum acidum|Acidum acetylsalicylicum|Acidum acetylsalicylicum (who-ip)|Aspirin|BAY1019036|Benzoic acid, 2-(acetyloxy)-|NSC-27223|NSC-406186",Small molecule,Cyclooxygenase inhibitor,drug_synonym,acetylsalicylic acid
CHEMBL547,ISOTRETINOIN,Transcription factor,"13 Cis-Retinoic Acid|13-cis-retinoic acid|Isotretinoin|Isotretinoina|Isotretinoine|NSC-758156|PAT-001|RO 4-3780|RO-4-3780|RO-43780|Retinoic acid 13-cis-form|Retinoic acid, 13-cis-|Vitamin a acid, 13-cis",Small molecule,Retinoic acid receptor agonist,drug_common_name,isotretinoin
CHEMBL1358,FULVESTRANT,Transcription factor,"Faslodex|Fulvestrant|ICI 182,780|ICI-182780|NSC-759879|ZD-9238|ZD9238",Small molecule,Estrogen receptor antagonist,drug_common_name,fulvestrant
CHEMBL15770,SULINDAC,Enzyme,Arthrocine|Artribid|MK-231|NSC-757344|Sulindac|Sulindaco,Small molecule,Cyclooxygenase inhibitor,drug_common_name,sulindac
CHEMBL6,INDOMETHACIN,Enzyme,Aconip|Durametacin|Indometacin|Indometacin farnesil|Indometacina|Indometacine|Indometacinum|Indomethacin|NSC-757061|NSC-77541|Reumacide,Small molecule,Cyclooxygenase inhibitor,drug_synonym,indometacin
CHEMBL1072,BUMETANIDE,Transporter,Bumetanida|Bumetanide|RO 10-6338|RO-10-6338|RO-106338|S-95008.|S95008.,Small molecule,Sodium-(potassium)-chloride cotransporter 2 inhibitor,drug_common_name,bumetanide
CHEMBL131,PREDNISOLONE,Transcription factor,Desowen|Hydeltra-Tba|Meticortelone|NSC-9120|NSC-9900|Neo-Delta-Cortef|Poly-Pred|Pred-G|Prednisolona|Prednisolone|Servisone|Tridesilon|Verdeso,Small molecule,Glucocorticoid receptor agonist,drug_common_name,prednisolone
CHEMBL1542,AZATHIOPRINE,Enzyme,Azathioprine|Azathioprinum|Azatioprina|BW-57-322|NSC-39084,Small molecule,Amidophosphoribosyltransferase inhibitor,drug_common_name,azathioprine
CHEMBL1623,MECLIZINE,Membrane receptor,Meclizine|Meclozina|Meclozine|NSC-169189,Small molecule,Histamine H1 receptor antagonist,drug_synonym,meclozine
CHEMBL20,ACETAZOLAMIDE,Enzyme|Unclassified protein,Acetamox|Acetazolamida|Acetazolamide|Acetazolamidum|Atenezo|Defiltran|Didoc|Diuriwas|Donmox|Edemox|Glaupax|L 579486|NSC-145177|Nephramide|Phonurit,Small molecule,Carbonic anhydrase II inhibitor,drug_common_name,acetazolamide
CHEMBL27,PROPRANOLOL,Membrane receptor,.beta.-propranolol|AY-64043-|Betalong|Dl-propranolol|Euprovasin|Inderal|Inderide-40/25|Inderide-80/25|Propranolol|Proprasylyt|Reducor,Small molecule,Beta-1 adrenergic receptor antagonist,drug_common_name,propranolol
CHEMBL622,ETODOLAC,Enzyme,"(rs)-etodolic acid|AY-24,236|AY-24-236|AY-24236|Eccoxolac|Edolan|Etodolac|Etodolaco|Etodolic acid|Flancox|Lodin xl|NIH-9918|NSC-282126|Napilac|Tedolan|Ultradol|Zedolac",Small molecule,Cyclooxygenase-2 inhibitor,drug_common_name,etodolac
CHEMBL701,BACLOFEN,Membrane receptor,"(rs)-baclofen|BA-34,647|BA-34647|Baclofen|Baclofene|Baclofeno|Fleqsuvy|Lyvispah|NSC-755906",Small molecule,GABA-B receptor agonist,drug_common_name,baclofen
CHEMBL159,VINBLASTINE,Structural protein,NSC-47842|Velban|Vinblastina|Vinblastine|[3H]-Vinblastine,Small molecule,Tubulin inhibitor,drug_common_name,vinblastine
CHEMBL27759,ENTINOSTAT,Unclassified protein|Epigenetic regulator,Entinostat|MS-27-275|MS-275|MS-275-27|SNDX-275,Small molecule,Histone deacetylase inhibitor,drug_synonym,ms-275
CHEMBL6966,VERAPAMIL,Ion channel,"CP-16,533-1|CP-165331|D-365|Iproveratril|NSC-272306NA|Verapamil|Verapamil slow release|Verapamilo",Small molecule,Voltage-gated L-type calcium channel blocker,drug_common_name,verapamil
CHEMBL1503,OMEPRAZOLE,Transporter,H 168/68|H-168/68|NSC-751450|NSC-759192|Omeprazol|Omeprazole,Small molecule,Potassium-transporting ATPase inhibitor,drug_common_name,omeprazole
CHEMBL1168,RAMIPRIL,Enzyme,C09AA05|Cardace|Corpril|Delix|Ecator|HOE 498|HOE-498|Hopace|NSC-758933|Pramace|Ramace|Ramipres|Ramipril|Triatec|Unipril|Vesdil,Small molecule,Angiotensin-converting enzyme inhibitor,drug_common_name,ramipril
CHEMBL121,ROSIGLITAZONE,Transcription factor|Epigenetic regulator,Avandamet|Avandaryl|Avandia|BRL-49653|Gaudil|NSC-758698|Rezult|Rosiglitazona|Rosiglitazone|Rosiglizole|Rosvel|TDZ-01,Small molecule,Peroxisome proliferator-activated receptor gamma agonist,drug_common_name,rosiglitazone
CHEMBL175247,ORLISTAT,Enzyme,Lipstatin|NSC-758881|Orlipastat|Orlistat|RO 18-0647/002|RO-180647-002|RO-180647002|Tetrahydrolipstatin,Small molecule,Gastric lipase inhibitor,drug_common_name,orlistat
CHEMBL23,DILTIAZEM,Ion channel,Cardizem|Dilt-CD|Diltiazem|Diltiazem extended release|Diltzac|Ditiaz|Surazem|Tiamate|Tiazac,Small molecule,Voltage-gated L-type calcium channel blocker,drug_common_name,diltiazem
CHEMBL386630,TESTOSTERONE,Transcription factor,Android-t|Androlan|Delatestryl|Homosterone|Livensa|NSC-9700|TESTIM|Testiculosterone|Testosterona|Testosterone|Testosterone ciii|Virosterone,Small molecule,Androgen Receptor agonist,drug_common_name,testosterone
CHEMBL435,HYDROCHLOROTHIAZIDE,Transporter,Apresazide|Carozide|Chlorosulthiadil|Copalia-hct|Dafiro-hct|Dihydrochlorurite|Exforge-hct|Hctz|Hidroclorotiazida|Hidrotiazida|Hydrochlorothiaizide|Hydrochlorothiazide|Hydrochlorothiazidum|Idrotiazide|Imprida-hct|Lotensin hct|Megadiuril|NSC-53477|Newtolide|Pantemon|Rasilez-hct|SU-5879|Servithiazid|Unipres|Vetidrex,Small molecule,Thiazide-sensitive sodium-chloride cotransporter inhibitor,drug_common_name,hydrochlorothiazide
CHEMBL45,MELATONIN,Membrane receptor,5-methoxy n-acetyl-tryptamine|BCI-049|J5.258B|Melatol|Melatonin|Melatonine|Melovine|NSC-113928|NSC-302012|NSC-56423|Regulin|Tartrol,Small molecule,Melatonin receptor agonist,drug_common_name,melatonin
CHEMBL595,PIOGLITAZONE,Transcription factor|Epigenetic regulator,AD-4833|Actos|Duetact|Glustin|Pioglitazona|Pioglitazone|U-72107|Zactos,Small molecule,Peroxisome proliferator-activated receptor gamma agonist,drug_common_name,pioglitazone
CHEMBL672,FENOFIBRATE,Transcription factor,Fenofibrate|Fenofibrate delayed release|Fenofibrate micronized|Fenofibrato|NSC-281319,Small molecule,Peroxisome proliferator-activated receptor alpha agonist,drug_common_name,fenofibrate
CHEMBL1479,DANAZOL,Transcription factor,"Danazol|NSC-270916|WIN 17,757|WIN-17757",Small molecule,Progesterone receptor agonist,drug_common_name,danazol
CHEMBL1751,DIGOXIN,Enzyme,Digoxin|Digoxina|Digoxine|Digoxinum|Dynamos|Fargoxin|Lanocardin|Mapluxin|NSC-95100|Natigoxin|Rougoxin|Stillacor-|Toloxin|Vanoxin,Small molecule,Sodium/potassium-transporting ATPase inhibitor,drug_common_name,digoxin
CHEMBL264374,BEZAFIBRATE,Transcription factor|Epigenetic regulator,BM 15.075|BM-15.075|BM-15075|Bezafibrate|Bezafibrato|Bezatol sr|NSC-758174,Small molecule,Peroxisome proliferator-activated receptor agonist,drug_common_name,bezafibrate
CHEMBL38,TRETINOIN,Transcription factor,Aberel|All-trans retinoic acid|All-trans-retinoic acid|Eudyna|Kerlocal|NSC-122758|Oristar rna|Retin a|Retinoic acid|Tretinoin|Tretinoina|Tretinoine,Small molecule,Retinoic acid receptor agonist,drug_common_name,tretinoin
CHEMBL389621,HYDROCORTISONE,Transcription factor,Cor-Oticin|Cortifoam|Cortisol|FLEXICORT|Hidrocortisona|Hydrocortisone|Micort-HC|NSC-10483|Neo-Cortef|Ophthocort|Terra-Cortril|U-Cort,Small molecule,Glucocorticoid receptor agonist,drug_common_name,hydrocortisone
CHEMBL3989843,TRANYLCYPROMINE,Enzyme,NSC-80664|Tranilcipromina|Tranylcypromine,Small molecule,Monoamine oxidase inhibitor,drug_common_name,tranylcypromine
CHEMBL727,THIOGUANINE,Enzyme,"NSC-752|NSC-76504|Thioguanine|Thioguanine anhydrous|Thioguanine hemihydrate|Thioguanine, anhydrous|Tioguanina|Tioguanine|Tioguanine hemihydrate",Small molecule,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,drug_synonym,tioguanine
CHEMBL86,METOCLOPRAMIDE,Membrane receptor,"Clopra|Clopra-""Yellow""|Elieten|Maxolon|Methoxyclopramide|Metoclopramida|Metoclopramide|Reglan|Terperan",Small molecule,Serotonin 4 (5-HT4) receptor agonist,drug_common_name,metoclopramide
CHEMBL118,CELECOXIB,Enzyme,Celecoxib|DFN-15|DFN15|NSC-719627|NSC-758624|SC-58635,Small molecule,Cyclooxygenase-2 inhibitor,drug_common_name,celecoxib
CHEMBL3183075,NIZATIDINE,Membrane receptor,Acinon|LY 139037|LY-139037|NSC-759289|Nizatidina|Nizatidine,Small molecule,Histamine H2 receptor antagonist,drug_common_name,nizatidine
CHEMBL1393,SPIRONOLACTONE,Transcription factor,Espironolactona|NSC-150399|SC-9420|Spironolactone|Spironolactone ceva|Spironolactonum|Verospirone,Small molecule,Mineralocorticoid receptor antagonist,drug_common_name,spironolactone
CHEMBL1643,RIBAVIRIN,Enzyme,Cotronak|NSC-163039|Ribavirin|Ribavirin biopartners|Ribavirin mylan|Ribavirin teva|Ribavirina|Ribavirine|SCH 18908|SCH-18908|Tribavirin,Small molecule,Inosine-5'-monophosphate dehydrogenase 1 inhibitor,drug_common_name,ribavirin
CHEMBL190,THEOPHYLLINE,Enzyme,"Dimethylxanthine|Doxophylline metabolite m3|NSC-2066|NSC-757346|Theophylline|Theophylline anhydrous|Theophylline melting point standard|Theophylline monohydrate|Theophylline, anhydrous|Theophylline,anhydrous",Small molecule,Phosphodiesterase 4 inhibitor,drug_common_name,theophylline
CHEMBL35,FUROSEMIDE,Transporter,Frusemide|Furoscix|Furosemida|Furosemide|Furosemidum|LB-502|Logirene|Marsemide|Mirfat|NSC-269420|Oedemex,Small molecule,Sodium-(potassium)-chloride cotransporter 2 inhibitor,drug_common_name,furosemide
CHEMBL421,SULFASALAZINE,Enzyme,Azulfidine|Benzosulfa|NSC-203730|NSC-667219|SAS-500|Salazosulfapyridine|Salicylazosulfapyridine|Sulfasalazina|Sulfasalazine|Sulfasalazinum|Sulfasalazopyridine|Sulphasalazine,Small molecule,Arachidonate 5-lipoxygenase inhibitor,drug_common_name,sulfasalazine
CHEMBL479,THIORIDAZINE,Membrane receptor,Dl-thioridazine|Mellaril|Mellerette|Novoridazine|Sonapax|TP-21|Thioridazine|Thioridazine prolongatum|Thioril|Tioridazina,Small molecule,Serotonin 2c (5-HT2c) receptor antagonist,drug_common_name,thioridazine
CHEMBL578,ENALAPRIL,Enzyme,C09AA02|Enalapril|Lexxel|Olinapril|Vaseretic|Vasotec,Small molecule,Angiotensin-converting enzyme inhibitor,drug_common_name,enalapril
CHEMBL895,NALBUPHINE,Membrane receptor,Intapan|Nalbufina|Nalbuphine|Nubain,Small molecule,Opioid receptors; mu/kappa/delta agonist,drug_common_name,nalbuphine
CHEMBL939,GEFITINIB,Enzyme,Gefitinib|Iressa|NSC-759856|ZD-1839|ZD1839,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,drug_common_name,gefitinib
CHEMBL753,PHENOXYBENZAMINE,Membrane receptor,Bensylyt|Benzylyt|Dibenylin|Fenoxibenzamina|Phenoxybenzamine,Small molecule,Adrenergic receptor alpha antagonist,drug_common_name,phenoxybenzamine
CHEMBL818,IOBENGUANE,Transporter,Iobenguane|Iobenguane (127-i),Small molecule,Norepinephrine transporter substrate,drug_common_name,iobenguane
CHEMBL13,METOPROLOL,Membrane receptor,(rs)-metoprolol|Beatrolol|CGP-2175|Dl-metoprolol|Lopressidone|Metoprolol|Metoprolol slow release|Seroken|Toprol-XL,Small molecule,Beta-1 adrenergic receptor antagonist,drug_common_name,metoprolol
CHEMBL1536,ERGOCALCIFEROL,Transcription factor,"Calciferol|Ergocalciferol|Ergocalciferolum|Ergorone|NSC-62792|Oleovitamin d, synthetic|Ostelin|Viosterol|Viosterol in oil|Vitamin d (ergocalciferol)|Vitamin d2",Small molecule,Vitamin D receptor agonist,drug_common_name,ergocalciferol
CHEMBL2220442,FLUVASTATIN,Unclassified protein|Enzyme,Fluvas|Fluvastatin|Fluvastatina|Fluvastatine|NSC-758896,Small molecule,HMG-CoA reductase inhibitor,drug_common_name,fluvastatin
CHEMBL877,TRANEXAMIC ACID,Enzyme,Acide tranexamique|Acido tranexamico|Amcha|CL 65336|CL-65336|CL65336|Cyclo-f|Cyclocapron|Cyclokapron|Espercil|Femstrual|Haematrix|LB-1148|LB1148|NSC-291305|RP-18429|Rikavarin|TRANS AMCHA|TRANS-AMCHA|Tranexamic acid|Trans AMCHA|Transamin,Small molecule,Plasminogen inhibitor,drug_common_name,tranexamic acid
CHEMBL1159650,CLOBETASOL PROPIONATE,Transcription factor,CCI 4725|CCI-4725|Clobecort amex|Clobetasol|Clobetasol 17-propionate|Clobetasol propionate|Dovate|GR 2/925|NSC-758634|Psorex,Small molecule,Glucocorticoid receptor agonist,drug_synonym,clobetasol
CHEMBL134,CLONIDINE,Membrane receptor,Catapres|Catarpres-tts|Clonidina|Clonidine|Clonidine extended release|Clorpres|Combipres|Duraclon|ST-155-BS|ST-155BS,Small molecule,Adrenergic receptor alpha-2 agonist,drug_common_name,clonidine
CHEMBL1473,FLUTICASONE PROPIONATE,Transcription factor,CCI 18781|CCI-18781|CCI18781|FLOVENT|Fluticaps|Fluticasona|Fluticasone|Fluticasone propionate|Fluticasone propionate |Fluticasone-17-propionate|NSC-759889|Opn-375|Optinose|PF-00241939|R01AD08,Small molecule,Glucocorticoid receptor agonist,drug_synonym,fluticasone
CHEMBL1501,FLUOCINONIDE,Transcription factor,Fluocinolide|Fluocinonida|Fluocinonide|NSC-101791,Small molecule,Glucocorticoid receptor agonist,drug_common_name,fluocinonide
CHEMBL1650,CORTISONE ACETATE,Transcription factor,Cortisona|Cortisone|Cortisone 21-acetate|Cortisone Acetate|Cortisone acetate|Cortisone aceticum|NSC-49420,Small molecule,Glucocorticoid receptor agonist,drug_synonym,cortisone
CHEMBL19019,NALTREXONE,Membrane receptor,EN-1639A|EN-1639A FREE BASE|EN-1639A [AS HYDROCHLORIDE]|NSC-758439|Naltrexona|Naltrexone|Revia,Small molecule,Opioid receptors; mu/kappa/delta antagonist,drug_common_name,naltrexone
CHEMBL2134724,IPRATROPIUM BROMIDE,Membrane receptor,Bromure d'ipratropium|Bromuro de ipratropio|Ipratropium bromide|Ipratropium bromide anhydrous|Ipratropium bromide hydrate|Ipratropium bromide monohydrate|NSC-759613|SCH 1000-BR-MONOHYDRATE|SCH-1000-BR-,Small molecule,Muscarinic acetylcholine receptor M3 antagonist,drug_common_name,ipratropium bromide
CHEMBL445,NORTRIPTYLINE,Transporter,Desitriptilina|Lumbeck|NCI-169453|NSC-757234|Noramitriptyline|Nortrilen|Nortriptilina|Nortriptyline|Pamelor|Sesaval,Small molecule,Norepinephrine transporter inhibitor,drug_common_name,nortriptyline
CHEMBL632,BETAMETHASONE,Transcription factor,BETA-VAL|Betametasona|Betamethasone|Betatrex|Dermabet|Flubenisolone|Lotrisone|NSC-39470|SCH 4831|SCH-4831|Taclonex|Uticort|VISUBETA,Small molecule,Glucocorticoid receptor agonist,drug_common_name,betamethasone
CHEMBL1064,SIMVASTATIN,Unclassified protein|Enzyme,C10AA01|MK-0733|MK-733|NSC-758706|Simvastatin|Simvastatin hydroxy acid|Simvastatina|Simvastatine|Synvinolin,Small molecule,HMG-CoA reductase inhibitor,drug_common_name,simvastatin
