drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action
CHEMBL265502,SURAMIN,Secreted protein,FARMA-939|Farma|Fourneau|Metaret|NSC-34936|Naganol|Suramin|Suramine,Small molecule,Acidic fibroblast growth factor inhibitor
CHEMBL413376,SURAMIN HEXASODIUM,Secreted protein,BAY-205|BAYER-205|CI-1003|FOURNEAU 309|FOURNEAU-309|NF-060|NSC-758165|Nagananinum|Naphuride|Suramin hexasodium|Suramin sodium|Suramina de sodio|Suramine sodique|Suraminum natricum,Small molecule,Acidic fibroblast growth factor inhibitor
CHEMBL52440,DEXTROMETHORPHAN,Membrane receptor,Dextromethorphan|Dextromethorphane|Dextrometorfano|Dimetane-DX|NSC-751452,Small molecule,Sigma opioid receptor agonist
CHEMBL655,MIDAZOLAM,Ion channel,Midazolam|Midazolam civ|USL-261|USL261,Small molecule,GABA-A receptor; anion channel positive allosteric modulator
CHEMBL830,EFLORNITHINE,Enzyme,Eflornithine|Eflornitina|Ornidyl|Vaniqa,Small molecule,Ornithine decarboxylase inhibitor
CHEMBL1201834,CANAKINUMAB,Secreted protein,ACZ-885|ACZ885|Canakinumab,Antibody,Interleukin-1 beta inhibitor
CHEMBL1535,HYDROXYCHLOROQUINE,Membrane receptor,Hidroxicloroquina|Hydroxychloroquine|Polirreumin,Small molecule,Toll-like receptor 7 antagonist
CHEMBL2109513,PD-360324,Secreted protein,PD-360324|Pd-360324,Antibody,Macrophage colony-stimulating factor 1 inhibitor
CHEMBL3,NICOTINE,Ion channel,Nicotine,Small molecule,Neuronal acetylcholine receptor; alpha4/beta2 agonist
CHEMBL628,PENTOXIFYLLINE,Enzyme,BL 191|BL-191|C04AD03|NSC-637086|NSC-758481|Oxpentifylline|Oxypentifylline|Pentoxifilina|Pentoxifylline|Pentoxiphyllin,Small molecule,"3',5'-cyclic phosphodiesterase inhibitor"
CHEMBL866,MYCOPHENOLIC ACID,Enzyme,"68618|Acide mycophenolique|Acido micofenolico|Mycophenolate|Mycophenolate mofetil impurity, mycophenolic acid-|Mycophenolic acid|NSC-129185|RS-61443 [AS MOFETIL]",Small molecule,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
CHEMBL1200699,DOXYCYCLINE,Enzyme,Doxiciclina|Doxirobe|Doxycycline|Doxycycline monohydrate|Doxylin|GS-3065|Supracyclin|Xyrosa,Small molecule,Matrix metalloproteinase 8 inhibitor
CHEMBL1096882,FLUDARABINE PHOSPHATE,Enzyme,2-f-ara-amp|2-f-araa|2-fluoro ara-a|2-fluorovidarabine|Fludarabina|Fludarabine|Fludarabine 5'-monophosphate|Fludarabine monophosphate|Fludarabine phosphate|Fluradosa|NSC-118218|NSC-118218H|NSC-312887|NSC-328002,Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor
CHEMBL1200645,ETOPOSIDE PHOSPHATE,Enzyme,BMY 40481|BMY-40481|Etoposide phosphate|VP-16|VP16|Vepeside,Small molecule,DNA topoisomerase II alpha inhibitor
CHEMBL1200751,MERCAPTOPURINE,Enzyme,6-mercaptopurine monohydrate|Mercaptopurina|Mercaptopurine|Mercaptopurine hydrate|Mercaptopurinum|NSC-755|NSC-759614,Small molecule,Amidophosphoribosyltransferase inhibitor
CHEMBL1201438,ALDESLEUKIN,Membrane receptor,"Aldesleukin|Aldesleukina|Aldesleukine|Human interleukin-2|Human interleukin-2 125-serine|ILT-101|Il2 (2-133) c125s|Ilt-101|Ilt-101 (low dose il-2)|Interleukin 2|Interleukin-2|Interleukin-2 aldesleukin|Interleukin-2(2-133),125-ser|Recombinant interleukin-2 human",Protein,Interleukin-2 receptor agonist
CHEMBL1201567,FILGRASTIM,Membrane receptor,Filgrastim|Filgrastim for bioassay|Filgrastim-sndz|Granulocyte colony-stimulating factor filgrastim|KRN-8601|MBRI-9901|R-METHUG-CSF|TX-01|TX01|Tbo-filgrastim|XM-02|XM02,Protein,Granulocyte colony stimulating factor receptor agonist
CHEMBL1201587,ALEMTUZUMAB,Surface antigen,Alemtuzumab|Alemtuzumab (genetical recombination)|Allo 647|CAMPATH-1H|GZ-402673|GZ402673|LDP-03,Antibody,CAMPATH-1 antigen inhibitor
CHEMBL1425,MERCAPTOPURINE ANHYDROUS,Enzyme,Mercaptopurine anhydrous,Small molecule,Amidophosphoribosyltransferase inhibitor
CHEMBL1563,DAUNORUBICIN HYDROCHLORIDE,Enzyme,Daunorubicin (as hydrochloride)|Daunorubicin hcl|Daunorubicin hydrochloride|FI 6339 HYDROCHLORIDE|FI 6339 [AS THE BASE]|FI-6339|FI-6339 HYDROCHLORIDE|NDC 0082-4155|NDC-0082-4155|NSC-82151|RP 13057 HYDROCHLORIDE|RP 13057 [AS THE BASE)|RP-13057|RP-13057 HYDROCHLORIDE,Small molecule,DNA topoisomerase II alpha inhibitor
CHEMBL1642,IMATINIB MESYLATE,Enzyme,Gleevec|Imatinib (as mesilate)|Imatinib accord|Imatinib medac|Imatinib mesilate|Imatinib mesylate|Imatinib methane sulfonate|Imatinib methanesulfonate|NSC-716051|QTI-571|QTI571|Qti571|STI 571|STI-571|STI571,Small molecule,Platelet-derived growth factor receptor beta inhibitor
CHEMBL1742992,BLINATUMOMAB,Surface antigen,Blinatumomab|Blincyto|MEDI-538|MT-103,Antibody,B-lymphocyte antigen CD19 cross-linking agent
CHEMBL178,DAUNORUBICIN,Enzyme,"Cerubidine|Daunomycin|Daunorubicin|Daunorubicina|Daunorubicine|Daunoxome|Epirubicin hydrochloride impurity, daunorubicin-|FI 6339|FI-6339|NSC-83142|RP 13057|RP-13057|Valrubicin impurity, daunorubicin",Small molecule,DNA topoisomerase II alpha inhibitor
CHEMBL2108404,EPRATUZUMAB,Adhesion,AMG-412|Epratuzumab|IMMU-HLL2|hLL2,Antibody,CD22 inhibitor
CHEMBL2108611,INOTUZUMAB OZOGAMICIN,Adhesion,CMC-544|Inotuzumab ozogamicin|Inotuzumab ozogamicina|Inotuzumab ozogamicine|PF-05208773|WAY-207294|WAY-207294 CMC-544,Antibody drug conjugate,CD22 binding agent
CHEMBL2108666,YTTRIUM Y 90 EPRATUZUMAB TETRAXETAN,Adhesion,(sup 90)y-dota-hll2|2F35K89X9W|90Y-DOTA-HLL2|90y-epratuzumab|S9S0Y-DOTA-HLL2|Y-90-dota-hll2|Yttrium y 90 epratuzumab tetraxetan,Antibody drug conjugate,CD22 inhibitor
CHEMBL218291,FORODESINE,Enzyme,BCX-1777|Forodesina|Forodesine|Immucillin h|Mundesine|NSC-717904,Small molecule,Purine nucleoside phosphorylase inhibitor
CHEMBL3137309,VENETOCLAX,Ion channel,ABT-199|GDC-0199|RG-7601|RG7601|Venetoclax,Small molecule,Apoptosis regulator Bcl-2 inhibitor
CHEMBL325041,BORTEZOMIB,Enzyme|Other cytosolic protein,Bortezomib|Bortezomib accord|Bortezomib hydrate|LDP-341|NSC-681239|PS-341|Velcade,Small molecule,26S proteosome inhibitor
CHEMBL3301574,TISAGENLECLEUCEL,Surface antigen,CART-19|CART19|CTL-019|CTL019|Car.cd19-redirected t cells|Kymriah|Tisagenlecleucel|Tisagenlecleucel-t,Cell,B-lymphocyte antigen CD19 binding agent
CHEMBL34259,METHOTREXATE,Enzyme,"(r)-methotrexate|ADX-2191|Abitrexate|Amethopterin|CL 14377|CL-14377|D-amethopterin|D-methotrexate|EMT-25299|Folex|Jylamvo|Methotrexate|Methotrexate, (r)-|Methotrexate, d-|Methotrexatum|Methylaminopterin|Metotrexato|Mexate|Mexate-AQ|NSC-740|R-9985|R-methotrexate|TCMDC-123832|TCMDC-125488|TCMDC-125858|Trexall",Small molecule,Dihydrofolate reductase inhibitor
CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,Enzyme,"Adriablastina cs|Adriamycin, hydrochloride|Doxorubicin HCl|Doxorubicin citrate|Doxorubicin citric acid salt|Doxorubicin hcl|Doxorubicin hydrochloride|Doxorubicin liposomal complex of the hydrochloride|Doxorubicini hydrochloridum|Hydroxydaunomycin hydrochloride|Liposomal doxorubicin hydrochloride",Small molecule,DNA topoisomerase II alpha inhibitor
CHEMBL384467,DEXAMETHASONE,Transcription factor,Decadron-LA|Dexacen-4|Dexacort|Dexair|Dexametasona|Dexamethasone|Dexamethasone metasulfobenzoate sodium|Dexamethasone palmitate|Dexamethasone valerate|Dexycu|Fluormethylprednisolone|ISV-305|Mymethasone|NSC-34521|Neodecadron|OTO-104,Small molecule,Glucocorticoid receptor agonist
CHEMBL4297788,MOSUNETUZUMAB,Unclassified protein,BTCT-4465A|BTCT4465A|Mosunetuzumab|Mosunetuzumab axgb|Mosunetuzumab-axgb|RG-7828|RG7828|RO-7030816|RO7030816,Antibody,T cell surface glycoprotein CD3 binding agent
CHEMBL44657,ETOPOSIDE,Enzyme,Etoposide|Etoposide resolution mixture|Etoposido|Etoposidum|NSC-141540|Sintopozid|VP-16-213,Small molecule,DNA topoisomerase II inhibitor
CHEMBL501867,VINCRISTINE SULFATE,Structural protein,37231|Kyocristine|LILLY-37231|Marqibo|NSC-67574|Novopharm|Vincristine sulfate|Vincristine sulfate liposome|Vincristine sulphate|Vincristini sulfas|Vincrisul,Small molecule,Tubulin inhibitor
CHEMBL53463,DOXORUBICIN,Enzyme,"Adriablastin|Adriamycin|Doxil|Doxorubicin|Doxorubicina|Doxorubicine|Epirubicin hydrochloride impurity, doxorubicin-|Hydroxydaunorubicin|NSC-123127|NSC-759155|Rubex|Valrubicin impurity, doxorubicin",Small molecule,DNA topoisomerase II alpha inhibitor
CHEMBL635,PREDNISONE,Transcription factor,3en3hg4wsw|Decortin|Dehydrocortisone|Metacortandracin|NSC-10023|Prednisona|Prednisone|Prednisone anhydrous|Prednisone tablets|Supercortil,Small molecule,Glucocorticoid receptor agonist
CHEMBL803,CYTARABINE,Enzyme,"Ara-c|Ara-cytidine|Arabinocytosine|Arabinosyl cytosine|Aracytidine|Aracytin|Aracytine|Citarabina|Cytarabine|Cytarabine liposome|Cytarabinoside|Cytarabinum|NSC-287459|Spongocytidine|U 19920a|U-19,920|U-19920",Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor
CHEMBL90555,VINCRISTINE,Structural protein,"22-oxovincaleukoblastine|Leucristine|Leurocristine|Oncotcs|Tecnocris|Vincaleukoblastine, 22-oxo-|Vincristin|Vincristina|Vincristine|Vinkristin",Small molecule,Tubulin inhibitor
CHEMBL941,IMATINIB,Enzyme,Glamox|Gleevec|Imatinib|NSC-743414|NSC-759854|STI-571,Small molecule,Platelet-derived growth factor receptor beta inhibitor
CHEMBL1042,CHOLECALCIFEROL,Transcription factor,"7-dehydrocholesterol, activated|AK R215 COMPONENT COLECALCIFEROL|AK-R215 COMPONENT COLECALCIFEROL|Cholecalciferol|Colecalciferol|Colecalciferolum|Delsterol|Delta-d|Deparal|Ebivit|NSC-375571|Provitina|Ricketon|Vitamin d|Vitamin d (cholecalciferol)|Vitamin d assay system suitability|Vitamin d-3|Vitamin d3|Vitamin d3 (as cholecalciferol)",Small molecule,Vitamin D receptor agonist
CHEMBL1079175,MK-2206,Enzyme,MK-2206|MK2206|Mk-2206,Small molecule,Serine/threonine-protein kinase AKT inhibitor
CHEMBL109,VALPROIC ACID,Enzyme,"44089|Acide valproique|Acido valproico|NSC-93819|Pentanoic acid, 2-propyl|Valproate|Valproic acid|Valproic acid extended release",Small molecule,Succinate semialdehyde dehydrogenase inhibitor
CHEMBL109480,TANESPIMYCIN,Unclassified protein|Other cytosolic protein,17-AAG|17aag|BMS-722782|CNF-1010|CNF1010|KOS-953|NSC-330507|Tanespimicina|Tanespimycin|Tanespimycine,Small molecule,Heat shock protein HSP90 inhibitor
CHEMBL112,ACETAMINOPHEN,Enzyme,Acetaminophen|Apap|Biocetamol|Doliprane|Efferalgan|N-acetyl-p-aminophenol|NSC-109028|NSC-3991|P-hydroxy-acetanilid|Paracetamol|Paracetamolum|Vermidon,Small molecule,Cyclooxygenase inhibitor
CHEMBL1200485,SORAFENIB TOSYLATE,Enzyme,BAY 54-9085|BAY-54-9085|Sorafenib tosilate|Sorafenib tosylate,Small molecule,Vascular endothelial growth factor receptor inhibitor
CHEMBL1201187,MARAVIROC,Membrane receptor,"Maraviroc|Rel-Maraviroc|UK-427857|Uk-427,857",Small molecule,C-C chemokine receptor type 5 antagonist
CHEMBL1201265,METHYLPREDNISOLONE HEMISUCCINATE,Transcription factor,Methylprednisolone hemisuccinate|Methylprednisolone succinate,Small molecule,Glucocorticoid receptor agonist
CHEMBL1201506,GEMTUZUMAB OZOGAMICIN,Surface antigen,CDP-771|CMA-676|CMC-676|Gemtuzumab ozogamicin|Gemtuzumab ozogamicin recombinant|Gemtuzumab ozogamicina|Gemtuzumab ozogamicine|L01XC05|WAY-CMA-676,Antibody drug conjugate,Myeloid cell surface antigen CD33 binding agent
CHEMBL1201550,DENILEUKIN DIFTITOX,Membrane receptor,DAB(SUB 389)IL2|DAB-389IL2|DAB389 IL2|DAB389IL2|Denileukin|Denileukin diftitox|Denileukina diftitox|Denileukine diftitox|E-7272|E-7777|E7272|E7777|LY-335348|LY335348,Protein,Interleukin-2 receptor binding agent
CHEMBL1201560,PEGINTERFERON ALFA-2A,Membrane receptor,Peg-interferon alfa 2a|Peg-interferon alfa-2a|Peginterferon .alpha.-2a|Peginterferon alfa|Peginterferon alfa-2a|Peginterferon-alfa-2a|Pegyinterferon-alfa-2a|Pegylated interferon alfa-2a|Pegylated interferon alpha 2a|Pegylated-interferon alfa 2a|Pegylated-interferon-alfa-2a|RO 25-8310/000|RO-258310000,Protein,Interferon alpha/beta receptor agonist
CHEMBL1201570,ANAKINRA,Membrane receptor,AMG-719|Alta-2530|Alta2530|Anakinra|Interleukin-1 receptor antagonist anakinra|Osp-101,Protein,Interleukin-1 receptor antagonist
CHEMBL1201572,ETANERCEPT,Secreted protein,Chs-0214|Davictrel|Dwp-422|Enia-11|Erelzi|Etanercept|Etanercept (enbrel)|Etanercept biosimilar (gp-2015)|Etanercept biosimilar (sandoz)|Etanercept biosimilar (sb-4)|Etanercept szzs|Etanercept ykro|Etanercept-szzs|Etanercept-ykro|Eticovo|GP-2015|GP2015|GP2015C|HD203|Hd-203|L04ab01|LBEC0101|Lbec-0101|RHU TNFR:FC|RHU-TNFR:FC|TNFR-IMMUNOADHESIN|Tunex,Protein,TNF-alpha inhibitor
CHEMBL1201573,OPRELVEKIN,Membrane receptor,Interleukin-11 (2-178)|Oprelvekin|Oprelvekina|Oprelvekine,Protein,Interleukin 11 receptor alpha agonist
CHEMBL1201576,RITUXIMAB,Ion channel,"ABP-798|ABP798|BI695500|Bi 695500|Bi-695500|Blitzima|CT-P10|Gp2013|HS-006|HS-006 (RITUXIMAB BIOSIMILAR)|HS006|IDEC-102|IDEC-C2B8|Mk-8808|Pf-05280586|R-105 IDEC-102|RG-105|RHCACD20MA|Riabni|Ritemvia|Rituximab|Rituximab (genetical recombination)|Rituximab (rituxan)|Rituximab abbs|Rituximab arrx|Rituximab biosimilar (amgen)|Rituximab biosimilar (celltrion)|Rituximab biosimilar (pfizer)|Rituximab biosimilar - celltrion|Rituximab biosimilar -merck|Rituximab pvvr|Rituximab-abbs|Rituximab-arrx|Rituximab-boehringer ingelheim|Rituximab-ct-p10|Rituximab-pfizer|Rituximab-pvvr|Ruxience|SAIT-101|SAIT101|Truxima|Tuxella|Usp mab 001, monoclonal igg1|Zuberitamab",Antibody,B-lymphocyte antigen CD20 binding agent
CHEMBL1201583,BEVACIZUMAB,Enzyme|Secreted protein,"12-IGG1|AVA-1|Abp-215|Alymsys|BAT-1706|BEVZ-92|BEVZ92|BI 695502|BI695502|BS-503A|Bat 1706|Bat1706|Bevacizumab|Bevacizumab (avastin)|Bevacizumab adcd|Bevacizumab awwb|Bevacizumab beta|Bevacizumab biosimilar (abp-215)|Bevacizumab biosimilar (amgen)|Bevacizumab biosimilar (fkb-238)|Bevacizumab biosimilar (pfizer)|Bevacizumab bvzr|Bevacizumab maly|Bevacizumab-adcd|Bevacizumab-awwb|Bevacizumab-bvzr|Bevacizumab-maly|Bevax|Bi-695502|Bs-503|Byvasda|CHS-5217|CT-16|CT-P16|CT-P16 (BIOSIMILAR OF BEVACIZUMAB)|Ct p16|Ct-16|Ct-p16|FKB-238|Fkb 238|Fkb238|HLX-04|HLX04|Hlx 04|Ibi-305|Ibi305|LY 01008|LY-01008|MB-02|Mvasi|Oyavas|PF-06439535|Pf-06439535|Q-1101|Q1101|R-435|RG-435|RHUMAB-|RHUMAB-VEGF|RO-4876646|Usp mab 002, monoclonal igg1|Vegzelma|Zirabev",Antibody,Vascular endothelial growth factor A inhibitor
CHEMBL1201604,TOSITUMOMAB,Ion channel,Tositumomab,Antibody,B-lymphocyte antigen CD20 binding agent
CHEMBL1201606,IBRITUMOMAB TIUXETAN,Ion channel,IDEC-129|IDEC-IN2B8|IDEC-Y2B8|IDEC-Y2B8 IDEC-129|Ibritumomab tiuxetan,Antibody drug conjugate,B-lymphocyte antigen CD20 binding agent
CHEMBL1201670,SARGRAMOSTIM,None,B1 61.012|B1-61012|Granulocyte-macrophage colony-stimulating factor sargramostim|RHU GM-CSF|RHU-GM-CSF|Sargramostim|Sargramostim rdna,Protein,Granulocyte-macrophage colony-stimulating factor receptor agonist
CHEMBL1201836,OFATUMUMAB,Ion channel,"2F2|GSK-1841157|GSK1841157|GSKI841157|HUMAX-CD20|HUMAX-CD20 2F2|HUMAX-CD20, 2F2|HUMAX-CD20-2F2|Ofatumumab",Antibody,B-lymphocyte antigen CD20 binding agent
CHEMBL1282,IMIQUIMOD,Membrane receptor,Aldara|Imiquimod|NSC-369100|NSC-759651|R-837|S-26308|S26308|Tmx-101,Small molecule,Toll-like receptor 7 agonist
CHEMBL1336,SORAFENIB,Enzyme,BAY 43-9006|BAY-43-9006|Sorafenib,Small molecule,Vascular endothelial growth factor receptor inhibitor
CHEMBL1389,LEVONORGESTREL,Transcription factor,"BAY86-5028|Levonorgestrel|Levonorgestrelum|NSC-744007|Norgestrel (-)-form|Norgestrel, (-)-|WY-5104",Small molecule,Progesterone receptor agonist
CHEMBL1417019,MITOXANTRONE HYDROCHLORIDE,Enzyme,"CL 232,315|CL-232315|Mitoxantrone Dihcl|Mitoxantrone Dihydrochloride|Mitoxantrone dihydrochloride|Mitoxantrone hcl|Mitoxantrone hydrochloride|Mitozantrone|NSC-301739",Small molecule,DNA topoisomerase II alpha inhibitor
CHEMBL1421,DASATINIB,Enzyme,BMS-354825|BMS-354825 HYDRATE|BMS-354825-03|Dasatinib|Dasatinib hydrate|Dasatinib monohydrate|NSC-759877,Small molecule,SRC inhibitor
CHEMBL1431,METFORMIN,Enzyme,LA-6023|Metformin|Metformin extended release|Metformina|Metformine,Small molecule,Mitochondrial complex I (NADH dehydrogenase) inhibitor
CHEMBL1456,MYCOPHENOLATE MOFETIL,Enzyme,Myclausen|Mycophenolate mofetil|Mycophenolic acid 2-(4-morpholinyl)ethyl ester|Mycophenylate mofetil|NSC-724229|NSC-758905|RS-61443,Small molecule,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
CHEMBL1467,ALLOPURINOL,Enzyme,Allopurinol|Allopurinolum|Alopurinol|BW 56-158|BW-56-158|NSC-101655|NSC-1390|Suspendol|Takanarumin,Small molecule,Xanthine dehydrogenase inhibitor
CHEMBL1489,AZACITIDINE,Epigenetic regulator,"5-azacitidine|Azacitidina|Azacitidine|Ladakamycin|NSC-102816|U-18,496|U-18496|Vidaza",Small molecule,DNA (cytosine-5)-methyltransferase 1 inhibitor
CHEMBL1551724,ACADESINE,Enzyme,Acadesina|Acadesine|GP-1-110|NSC-105823,Small molecule,"AMP-activated protein kinase, AMPK activator"
CHEMBL1567,SUNITINIB MALATE,Enzyme,PHA-290940AD|SU-010398|SU-011248 L-MALATE SALT|SU010398|SU011248 L-MALATE SALT|Sunitinib l-malate|Sunitinib malate|Sutent,Small molecule,Vascular endothelial growth factor receptor inhibitor
CHEMBL1580,PENTOSTATIN,Enzyme,CI-825|Deoxycoformycin|NSC-218321|Nipent|PD 81565|PD-81565|Pentostatin|Pentostatina|Pentostatine|YK-176,Small molecule,Adenosine deaminase inhibitor
CHEMBL160,CYCLOSPORINE,Enzyme,"27-400|ANTIBIOTIC S-7481F1|Atopica|Ciclosporin|Ciclosporin a|Ciclosporina|Ciclosporine|Ciclosporinum|Cyclosporin|Cyclosporin a|Cyclosporine|Cyclosporine a|Cyclosporine microemulsion|Cyclosporine, modified|Equoral|Mitogard|NSC-290193|Neoplanta|Neurostat|OL-27-400|Ramihyphin a|SANG-35|SDZ-OXL-400|Vevye|Zinograf me",Protein,Cyclophilin A modulator
CHEMBL1716091,SDX-101,Transcription factor,"(-)-(r)-etodolac|(-)-etodolac|Etodolac, (-)-|Etodolac, (r)-|KS-1056|R-etodolac|RAK-593|SDX-101|Sdx-101",Small molecule,Retinoid X receptor alpha modulator
CHEMBL1742994,BRENTUXIMAB VEDOTIN,Structural protein,Brentuximab vedotin|Brentuximab vedotin brentuximab|Brentuximab vedotina|Brentuximab vedotine|CAC-10|CAC10|CAC10-VCMMAE|Cac10-1006(4)|Cac10-vcmmae(4)|Monoclonal antibody sgn-30|SGN-35|Sgn 30,Antibody drug conjugate,Tubulin inhibitor
CHEMBL1743040,MILATUZUMAB,Surface antigen|Enzyme,HLL1|IMMU-115|Milatuzumab,Antibody,HLA-DR antigens-associated invariant chain antagonist
CHEMBL1743043,MOXETUMOMAB PASUDOTOX,Adhesion,CAT-8015|HA-22|HA22|Moxetumomab pasudotox|Moxetumomab pasudotox tdfk|Moxetumomab pasudotox-tdfk,Antibody drug conjugate,CD22 binding agent
CHEMBL1743048,OBINUTUZUMAB,Ion channel,AFUTUZUMAB|Afutuzumab|GA-101|GA101|Gazyva|HUMAB CD20|HUMAB<CD20>|HUMABCD20|Obinutuzumab|R-7159|RG-7159|RO 5072759|RO 5072759 HUMAB<CD20>|RO-5072759|RO-5072759 HUMAB<CD20>|Ro5072759,Antibody,B-lymphocyte antigen CD20 binding agent
CHEMBL1743088,VELTUZUMAB,Ion channel,HA20|IMMU-106|Veltuzumab,Antibody,B-lymphocyte antigen CD20 binding agent
CHEMBL1750,CLOFARABINE,Enzyme,Clofarabina|Clofarabine|Clolar|NSC-759857,Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor
CHEMBL1789843,BELIMUMAB,Secreted protein,BEL-114333|BEL114333|Belimumab|Belimumab (genetical recombination)|GSK-1550188|GSK1550188|HGS-1006|HGS1006,Antibody,Tumor necrosis factor ligand superfamily member 13B inhibitor
CHEMBL1789941,RUXOLITINIB,Enzyme,INC-424|INC424|INCB-018424|INCB-18424|INCB018424|Ruxolitinib,Small molecule,Tyrosine-protein kinase JAK2 inhibitor
CHEMBL1795071,RUXOLITINIB PHOSPHATE,Enzyme,INCB-018424 PHOSPHATE|INCB-018424 SALT|INCB-18424 PHOSPHATE|INCB018424 PHOSPHATE|INCB018424 SALT|Opzelura|Ruxolitinib (as phosphate)|Ruxolitinib monophosphate|Ruxolitinib phosphate,Small molecule,Tyrosine-protein kinase JAK1 inhibitor
CHEMBL18442,PLERIXAFOR,Membrane receptor,AMD 3100|AMD3100|JM 3100|Plerixafor|Plerixafor hydrochloride|Plerixafor octahydrochloride|SID 791,Small molecule,C-X-C chemokine receptor type 4 partial agonist
CHEMBL1873475,IBRUTINIB,Enzyme|Unclassified protein,CRA-032765|Ibrutinib|PC-32765|PCI 32765|PCI-32765|PCI-32765-00,Small molecule,Tyrosine-protein kinase BTK inhibitor
CHEMBL1944698,ZOTIRACICLIB,Enzyme,EX45|Ex 45|SB-1317|SB1317|Sb-1317 free base|TG02|Tg-02|Tg02|Zotiraciclib,Small molecule,Tyrosine-protein kinase JAK2 inhibitor
CHEMBL2017974,BUPARLISIB,Enzyme,BKM-120|BKM-120NX|BKM120-NX|Bkm-120|Buparlisib|NVP-BKM-120|NVP-BKM120,Small molecule,PI3-kinase class I inhibitor
CHEMBL2103792,AGATOLIMOD,Membrane receptor,Agatolimod|Cpg-10104|PF-3512676|Pf-3512676 free acid,Oligonucleotide,Toll-like receptor 9 agonist
CHEMBL2103793,AGATOLIMOD SODIUM,Membrane receptor,Agatolimod sodium|Agatolimod tricosasodium salt|CPG 7909|CPG-7909|PF-03512676|PF-3512676|Vaximmune,Oligonucleotide,Toll-like receptor 9 agonist
CHEMBL2103840,DINACICLIB,Enzyme|Unclassified protein|Other cytosolic protein,Dinaciclib|Mk-7965|SCH 727965|SCH-727965|SCH727965,Small molecule,Cyclin-dependent kinase 2 inhibitor
CHEMBL2107358,OBATOCLAX MESYLATE,Unclassified protein,GX-15-070MS|GX15-070MS|Obatoclax|Obatoclax mesilate|Obatoclax mesylate,Small molecule,Bcl-2-like protein 10 inhibitor
CHEMBL2108252,APOLIZUMAB,Surface antigen,Apolizumab|HU-1D10|HU1D10|Remitogen,Antibody,Human leukocyte antigen DR beta chain inhibitor
CHEMBL2108354,UBLITUXIMAB,Ion channel,Briumvi|TG-1101|Ublituximab|Ublituximab xiiy|Ublituximab-xiiy,Antibody,B-lymphocyte antigen CD20 binding agent
CHEMBL2108667,YTTRIUM Y 90 IBRITUMOMAB TIUXETAN,Ion channel,(90)y-ibritumomab tiuxetan|90y ibritumomab tiuxetan|90y-ibritumomab|Ibritumomab tiuxetan y-90|Ibritumomab tiuxetan yttrium y-90|Yttrium y 90 ibritumomab tiuxetan|Yttrium y-90 ibritumomab tiuxetan,Antibody drug conjugate,B-lymphocyte antigen CD20 binding agent
CHEMBL2108738,NIVOLUMAB,Surface antigen,BMS-936558|BMS-986298|MDX-1106|MDX1106|Nivolumab|ONO-4538,Antibody,Programmed cell death protein 1 inhibitor
CHEMBL2109151,LUMILIXIMAB,Membrane receptor,Gomiliximab|IDEC-152|Lumiliximab|P5E8 SI-3401 GOMILIXIMAB|Primatized anti-cd23|ST-152,Antibody,Immunoglobulin epsilon Fc receptor antagonist
CHEMBL2109229,OBLIMERSEN SODIUM,Ion channel,Augmerosen|D-G3139|G-3139|G3139|Oblimersen|Oblimersen sodium,Oligonucleotide,Bcl-2 mRNA antisense inhibitor
CHEMBL2109334,INEBILIZUMAB,Surface antigen,Inebilizumab|Inebilizumab cdon|Inebilizumab-cdon|MEDI-551|MEDI551,Antibody,B-lymphocyte antigen CD19 binding agent
CHEMBL2109500,LIRILUMAB,Membrane receptor,Anti-KIR Antibody|BMS-986015|BMS-986015-01|BMS-98601501|IPH-2102|IPH2102|Lirilumab,Antibody,Killer cell immunoglobulin-like receptor 2DL1 inhibitor
CHEMBL2216870,IDELALISIB,Enzyme,CAL-101|GS-1101|GS-11CAL-101|Idelalisib,Small molecule,PI3-kinase p110-delta subunit inhibitor
CHEMBL2219776,CENERSEN SODIUM,Other nuclear protein|Transcription factor|Enzyme,Cenersen sodium|EL-625|EL625|OL(1)P53,Oligonucleotide,p53 mRNA antisense inhibitor
CHEMBL269732,TACROLIMUS ANHYDROUS,Enzyme|Ion channel,"104987-11-3|Anhydrous tacrolimus|FK-506|FR-900506|Fujimycin|Prograph|Tacro|Tacrolimus anhydrous|Tacrolimus, anhydrous|Tsukubaenolide",Small molecule,FK506-binding protein 1A inhibitor
CHEMBL272980,MOCETINOSTAT,Epigenetic regulator,MGCD-0103|MGCD0103|Mocetinostat,Small molecule,Histone deacetylase 1 inhibitor
CHEMBL289228,TIPIFARNIB,Enzyme,NSC-702818|R-11577|R-115777|R115777|Tipifarnib|Zarnestra,Small molecule,Protein farnesyltransferase inhibitor
CHEMBL296468,BMS-387032,Enzyme|Unclassified protein|Other cytosolic protein,BMS-387032|Bms-387032|Bms387032|SNS-032|Sns 032,Small molecule,Cyclin-dependent kinase 2 inhibitor
