drug,source,phase,cmap_score,tahoe_score
BELUMOSUDIL,TAHOE_ONLY,2.0,,-0.209171533092454
BETAMETHASONE,CMAP_ONLY,3.0,-0.162992419622654,
BETAMETHASONE DIPROPIONATE,TAHOE_ONLY,4.0,,-0.245297071058381
BEXAROTENE,TAHOE_ONLY,2.0,,-0.221787712120762
CLOBETASOL PROPIONATE,TAHOE_ONLY,4.0,,-0.274740733130641
DEXAMETHASONE,BOTH,4.0,-0.177458655701868,-0.274207349583523
DIMETHYL FUMARATE,TAHOE_ONLY,3.0,,-0.263342663873297
ERLOTINIB,TAHOE_ONLY,2.0,,-0.267416797531189
FAMOTIDINE,CMAP_ONLY,1.0,-0.139521410001731,
FLUOCINONIDE,CMAP_ONLY,0.5,-0.164429040577608,
HYDROCORTISONE,CMAP_ONLY,4.0,-0.138997609532539,
METFORMIN,CMAP_ONLY,3.0,-0.178771574765338,
METHOTREXATE,BOTH,4.0,-0.24112155329855,-0.246776269617242
NALTREXONE,CMAP_ONLY,1.0,-0.140315605503176,
NORTRIPTYLINE,CMAP_ONLY,2.0,-0.135523791337266,
OMEPRAZOLE,TAHOE_ONLY,1.0,,-0.178788483064005
PACLITAXEL,BOTH,2.0,-0.219073906429964,-0.293160372893521
PIOGLITAZONE,BOTH,2.0,-0.148742354633786,-0.120664157684217
PREDNICARBATE,CMAP_ONLY,1.0,-0.152662893084569,
PREDNISOLONE,CMAP_ONLY,4.0,-0.155806541448355,
PREDNISONE,CMAP_ONLY,4.0,-0.135035101197392,
TAZAROTENE,TAHOE_ONLY,4.0,,-0.207625043537784
THALIDOMIDE,CMAP_ONLY,2.0,-0.135161828877055,
TOFACITINIB,TAHOE_ONLY,3.0,,-0.248691245988986
TRIAMCINOLONE,TAHOE_ONLY,2.0,,-0.265339885178584
